"Join_Count","CDUID","CDNAME","CDTYPE","PRUID","PRNAME","GID_1","GID_2","NAME_2","TYPE_2","ENGTYPE_2","HASC_2"
1,4621,"Division No. 21","CDR",46,"Manitoba","CAN.3_1","CAN.3.13_1","Division No. 21","Census Division","Census Division","CA.MB.TO"
1,4622,"Division No. 22","CDR",46,"Manitoba","CAN.3_1","CAN.3.14_1","Division No. 22","Census Division","Census Division","CA.MB.TY"
1,4623,"Division No. 23","CDR",46,"Manitoba","CAN.3_1","CAN.3.15_1","Division No. 23","Census Division","Census Division","CA.MB.EE"
1,4701,"Division No.  1","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.10_1","Division No. 1","Census Division","Census Division","CA.SK.ON"
1,4702,"Division No.  2","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.11_1","Division No. 2","Census Division","Census Division","CA.SK.TW"
1,4703,"Division No.  3","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.12_1","Division No. 3","Census Division","Census Division","CA.SK.TR"
1,4704,"Division No.  4","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.13_1","Division No. 4","Census Division","Census Division","CA.SK.FO"
1,4705,"Division No.  5","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.14_1","Division No. 5","Census Division","Census Division","CA.SK.FI"
1,4706,"Division No.  6","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.15_1","Division No. 6","Census Division","Census Division","CA.SK.SI"
1,4707,"Division No.  7","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.16_1","Division No. 7","Census Division","Census Division","CA.SK.SE"
1,4708,"Division No.  8","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.17_1","Division No. 8","Census Division","Census Division","CA.SK.EI"
1,4709,"Division No.  9","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.18_1","Division No. 9","Census Division","Census Division","CA.SK.NI"
1,4710,"Division No. 10","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.1_1","Division No. 10","Census Division","Census Division","CA.SK.TE"
1,4711,"Division No. 11","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.2_1","Division No. 11","Census Division","Census Division","CA.SK.EL"
1,4712,"Division No. 12","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.3_1","Division No. 12","Census Division","Census Division","CA.SK.TV"
1,4713,"Division No. 13","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.4_1","Division No. 13","Census Division","Census Division","CA.SK.TN"
1,4714,"Division No. 14","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.5_1","Division No. 14","Census Division","Census Division","CA.SK.FT"
1,4715,"Division No. 15","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.6_1","Division No. 15","Census Division","Census Division","CA.SK.FN"
1,4716,"Division No. 16","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.7_1","Division No. 16","Census Division","Census Division","CA.SK.ST"
1,4717,"Division No. 17","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.8_1","Division No. 17","Census Division","Census Division","CA.SK.SN"
1,4718,"Division No. 18","CDR",47,"Saskatchewan","CAN.12_1","CAN.12.9_1","Division No. 18","Census Division","Census Division","CA.SK.ET"
1,4801,"Division No.  1","CDR",48,"Alberta","CAN.1_1","CAN.1.11_1","Division No. 1","Census Division","Census Division","CA.AB.ON"
1,4802,"Division No.  2","CDR",48,"Alberta","CAN.1_1","CAN.1.12_1","Division No. 2","Census Division","Census Division","CA.AB.TW"
1,4803,"Division No.  3","CDR",48,"Alberta","CAN.1_1","CAN.1.13_1","Division No. 3","Census Division","Census Division","CA.AB.TR"
1,4804,"Division No.  4","CDR",48,"Alberta","CAN.1_1","CAN.1.14_1","Division No. 4","Census Division","Census Division","CA.AB.FO"
1,4805,"Division No.  5","CDR",48,"Alberta","CAN.1_1","CAN.1.15_1","Division No. 5","Census Division","Census Division","CA.AB.FI"
1,4806,"Division No.  6","CDR",48,"Alberta","CAN.1_1","CAN.1.16_1","Division No. 6","Census Division","Census Division","CA.AB.SI"
1,4807,"Division No.  7","CDR",48,"Alberta","CAN.1_1","CAN.1.17_1","Division No. 7","Census Division","Census Division","CA.AB.SE"
1,4808,"Division No.  8","CDR",48,"Alberta","CAN.1_1","CAN.1.18_1","Division No. 8","Census Division","Census Division","CA.AB.EI"
1,4809,"Division No.  9","CDR",48,"Alberta","CAN.1_1","CAN.1.19_1","Division No. 9","Census Division","Census Division","CA.AB.NI"
1,4810,"Division No. 10","CDR",48,"Alberta","CAN.1_1","CAN.1.1_1","Division No. 10","Census Division","Census Division","CA.AB.TE"
1,4811,"Division No. 11","CDR",48,"Alberta","CAN.1_1","CAN.1.2_1","Division No. 11","Census Division","Census Division","CA.AB.EL"
1,4812,"Division No. 12","CDR",48,"Alberta","CAN.1_1","CAN.1.3_1","Division No. 12","Census Division","Census Division","CA.AB.TV"
1,4813,"Division No. 13","CDR",48,"Alberta","CAN.1_1","CAN.1.4_1","Division No. 13","Census Division","Census Division","CA.AB.TN"
1,4814,"Division No. 14","CDR",48,"Alberta","CAN.1_1","CAN.1.5_1","Division No. 14","Census Division","Census Division","CA.AB.FT"
1,4815,"Division No. 15","CDR",48,"Alberta","CAN.1_1","CAN.1.6_1","Division No. 15","Census Division","Census Division","CA.AB.FN"
1,4816,"Division No. 16","CDR",48,"Alberta","CAN.1_1","CAN.1.7_1","Division No. 16","Census Division","Census Division","CA.AB.ST"
1,4817,"Division No. 17","CDR",48,"Alberta","CAN.1_1","CAN.1.8_1","Division No. 17","Census Division","Census Division","CA.AB.SN"
1,4818,"Division No. 18","CDR",48,"Alberta","CAN.1_1","CAN.1.9_1","Division No. 18","Census Division","Census Division","CA.AB.ET"
